configuration,threshold,learning_sample_size,TP,FP,FN,delay_mean,delay_std,delay_median,labeled_delay_mean,labeled_delay_std,labeled_delay_median,power,significance
beta,0.04,5,0,14,0,9.714,6.462,7.0,,,,0.0,0.014
beta,0.04,10,0,9,0,71.556,110.789,23.0,,,,0.0,0.009
beta,0.04,20,0,3,0,106.333,49.034,98.0,,,,0.0,0.003
beta,0.04,50,0,0,0,,,,,,,0.0,0.0
beta,0.07,5,0,30,0,17.55,27.832,10.0,,,,0.0,0.03
beta,0.07,10,0,11,0,49.909,51.419,22.0,,,,0.0,0.011
beta,0.07,20,0,6,0,129.5,114.92,93.0,,,,0.0,0.006
beta,0.07,50,0,0,0,,,,,,,0.0,0.0
beta,0.18,5,0,61,0,20.301,23.405,10.0,,,,0.0,0.061
beta,0.18,10,0,30,0,51.55,81.685,23.5,,,,0.0,0.03
beta,0.18,20,0,16,0,73.469,60.968,62.5,,,,0.0,0.016
beta,0.18,50,0,5,0,94.0,74.101,66.0,,,,0.0,0.005
beta,0.27,5,0,91,0,21.543,24.248,13.0,,,,0.0,0.091
beta,0.27,10,0,52,0,41.808,49.076,23.75,,,,0.0,0.052
beta,0.27,20,0,34,0,59.529,50.961,38.0,,,,0.0,0.034
beta,0.27,50,0,13,0,111.0,73.92,73.0,,,,0.0,0.013
beta-beta,0.04,5,476,4,524,34.571,9.387,34.0,31.523,11.207,31.0,0.476,0.004
beta-beta,0.04,10,394,1,606,39.418,9.477,38.0,36.276,8.719,35.0,0.394,0.001
beta-beta,0.04,20,352,3,648,48.113,11.239,46.0,44.003,10.331,43.0,0.352,0.003
beta-beta,0.04,50,275,5,725,69.396,15.067,69.0,64.45,14.206,63.0,0.275,0.005
beta-beta,0.07,5,476,8,524,32.591,8.865,32.0,29.521,12.109,29.0,0.476,0.008
beta-beta,0.07,10,394,2,606,37.472,9.307,36.0,33.992,9.633,33.0,0.394,0.002
